t,bpm
1766854694.9375417,78
1766854695.947509,79
1766854696.9476008,79
1766854697.9575067,79
1766854698.9575226,80
1766854699.957523,80
1766854700.9675062,81
1766854701.9675066,81
1766854702.9675088,81
1766854703.9675384,82
1766854704.977511,82
1766854705.9775238,83
1766854706.978035,83
1766854707.987523,83
1766854708.9875274,84
1766854709.9975054,84
1766854710.9975197,85
1766854711.997543,85
1766854713.0075068,85
1766854714.007522,86
1766854715.0075364,86
1766854716.0075393,87
1766854717.0175111,87
1766854718.027522,87
1766854719.0375125,88
1766854720.037531,88
1766854721.0475578,88
1766854722.0575335,89
1766854723.058746,89
1766854724.0675337,89
1766854725.0675395,90
1766854726.0775142,90
1766854727.0775313,90
1766854728.077554,90
1766854729.087537,90
1766854730.0875487,90
1766854731.0975213,90
1766854732.097522,91
1766854733.1075125,91
1766854734.1075284,91
1766854735.1175172,92
1766854736.1275048,92
1766854737.127594,92
1766854738.1375213,92
1766854739.1375349,92
1766854740.1475468,93
1766854741.1575267,93
1766854742.1675048,93
1766854743.167507,93
1766854744.167527,93
1766854745.1775098,93
1766854746.1775358,93
1766854747.1875052,93
1766854748.1975043,93
1766854749.197506,93
1766854750.1975372,93
1766854751.2075188,93
1766854752.2075193,93
1766854753.2175248,93
1766854754.227536,93
