t,red,ir
1766854694.9275255,241800,225750
1766854694.9375417,241800,225750
1766854694.9475102,241800,225498
1766854694.9575033,241820,225751
1766854694.967508,241820,225751
1766854694.9775112,241820,225751
1766854694.987508,241710,225562
1766854694.9975226,241849,225752
1766854695.007511,241849,225752
1766854695.0175078,241849,225752
1766854695.0275054,241750,225574
1766854695.0375175,241878,225766
1766854695.0475078,241878,225766
1766854695.0575054,241878,225766
1766854695.0675302,241791,225583
1766854695.0775266,241909,225774
1766854695.087509,241909,225774
1766854695.0975058,241909,225774
1766854695.107505,241838,225586
1766854695.117505,241932,225774
1766854695.127504,241932,225774
1766854695.1375043,241932,225774
1766854695.147504,241858,225579
1766854695.157504,241832,225733
1766854695.1675076,241832,225733
1766854695.1775224,241832,225733
1766854695.1875074,241900,225582
1766854695.197506,241523,225609
1766854695.207504,241523,225609
1766854695.217504,241523,225609
1766854695.2275045,241958,225587
1766854695.2375045,241331,225542
1766854695.2475052,241331,225542
1766854695.2575042,241331,225542
1766854695.2675056,241949,225584
1766854695.2775116,241368,225546
1766854695.2875066,241368,225546
1766854695.2975051,241368,225546
1766854695.307514,241728,225498
1766854695.3175144,241457,225572
1766854695.3275158,241457,225572
1766854695.3375144,241457,225572
1766854695.3479328,241489,225407
1766854695.357524,241572,225602
1766854695.3675241,241572,225602
1766854695.3775132,241572,225602
1766854695.3875039,241496,225415
1766854695.397505,241664,225629
1766854695.4075067,241664,225629
1766854695.417505,241664,225629
1766854695.4275284,241596,225438
1766854695.4375076,241705,225646
1766854695.4475048,241705,225646
1766854695.4575055,241705,225646
1766854695.4675052,241721,225479
1766854695.477512,241709,225633
1766854695.4875124,241709,225633
1766854695.4975047,241709,225633
1766854695.5075047,241813,225489
1766854695.5175035,241706,225634
1766854695.5275037,241706,225634
1766854695.537503,241706,225634
1766854695.547504,241863,225518
1766854695.557525,241726,225638
1766854695.5675092,241726,225638
1766854695.5775054,241726,225638
1766854695.5875046,241870,225502
1766854695.5975041,241772,225653
1766854695.6075046,241772,225653
1766854695.617503,241772,225653
1766854695.627504,241861,225484
1766854695.6375034,241827,225651
1766854695.647532,241827,225651
1766854695.6575327,241827,225651
1766854695.6675122,241869,225497
1766854695.6775055,241862,225667
1766854695.687508,241862,225667
1766854695.6975079,241862,225667
1766854695.7075052,241912,225501
1766854695.7175345,241907,225662
1766854695.7275183,241907,225662
1766854695.7375233,241907,225662
1766854695.7475076,241958,225510
1766854695.7575078,241920,225666
1766854695.7675304,241920,225666
1766854695.7775095,241920,225666
1766854695.787529,242005,225535
1766854695.7975101,241951,225667
1766854695.8075268,241951,225667
1766854695.8175075,241951,225667
1766854695.8275042,242014,225522
1766854695.8375058,241928,225634
1766854695.8475075,241928,225634
1766854695.8575294,241928,225634
1766854695.867518,242034,225512
1766854695.8775055,241723,225529
1766854695.8875098,241723,225529
1766854695.8975065,241723,225529
1766854695.9075062,242061,225512
1766854695.9175048,241297,225387
1766854695.9275055,241297,225387
1766854695.9375057,241297,225387
1766854695.947509,241967,225471
1766854695.9575133,241196,225429
1766854695.9675481,241196,225429
1766854695.9775054,241196,225429
1766854695.9875064,241729,225386
1766854695.9975042,241302,225479
1766854696.007511,241302,225479
1766854696.017507,241302,225479
1766854696.0275054,241538,225330
1766854696.0375054,241531,225584
1766854696.0475059,241531,225584
1766854696.0575037,241531,225584
1766854696.067506,241569,225334
1766854696.0775058,241630,225619
1766854696.087521,241630,225619
1766854696.0975084,241630,225619
1766854696.107529,241642,225362
1766854696.117507,241661,225487
1766854696.1275082,241661,225487
1766854696.1375053,241661,225487
1766854696.1475067,241712,225382
1766854696.1575046,241665,225420
1766854696.1675096,241665,225420
1766854696.1775064,241665,225420
1766854696.1875055,241778,225398
1766854696.2005508,241688,225498
1766854696.207512,241688,225498
1766854696.2175193,241688,225498
1766854696.2275085,241859,225403
1766854696.2375069,241710,225562
1766854696.2475069,241710,225562
1766854696.2575262,241710,225562
1766854696.2675223,241915,225403
1766854696.2775097,241750,225574
1766854696.287507,241750,225574
1766854696.297506,241750,225574
1766854696.3075051,241837,225400
1766854696.3175058,241791,225583
1766854696.3275256,241791,225583
1766854696.33752,241791,225583
1766854696.3475335,241755,225420
1766854696.3575075,241838,225586
1766854696.3675077,241838,225586
1766854696.3775055,241838,225586
1766854696.387506,241760,225434
1766854696.397505,241858,225579
1766854696.4075058,241858,225579
1766854696.4175057,241858,225579
1766854696.4275038,241883,225475
1766854696.4375062,241900,225582
1766854696.4475055,241900,225582
1766854696.4575055,241900,225582
1766854696.4675074,241967,225503
1766854696.4775054,241958,225587
1766854696.487505,241958,225587
1766854696.4975047,241958,225587
1766854696.5075042,242000,225402
1766854696.517504,241949,225584
1766854696.5275047,241949,225584
