timestamp,red,ir
1766327382.3195798,82321,82215
1766327382.3307664,123179,117365
1766327382.3418875,123156,117342
1766327382.352981,123130,117323
1766327382.3641396,123137,117329
1766327382.3752937,123146,117340
1766327382.386361,123173,117345
1766327382.3974426,123212,117357
1766327382.4085286,123248,117363
1766327382.419695,123283,117378
1766327382.4307988,123275,117371
1766327382.4418783,123294,117379
1766327382.452992,123313,117386
1766327382.4640353,123338,117404
1766327382.4750235,123346,117397
1766327382.4859807,123226,117324
1766327382.4969351,123013,117246
1766327382.5079985,122938,117202
1766327382.5189698,122942,117205
1766327382.5299275,122967,117200
1766327382.540886,123017,117226
1766327382.5518396,123043,117237
1766327382.5628266,123033,117238
1766327382.573791,123011,117235
1766327382.5847695,123025,117223
1766327382.5958765,123036,117238
1766327382.6068487,123060,117243
1766327382.6178567,123083,117255
1766327382.6288161,123106,117266
1766327382.6397705,123126,117273
1766327382.6507254,123128,117279
1766327382.6616757,123138,117281
1766327382.672642,123068,116928
1766327382.6835985,122902,116865
1766327382.6945498,122629,116751
1766327382.7055063,122567,116721
1766327382.7164721,122611,116766
1766327382.727425,122631,116752
1766327382.7383776,122670,116784
1766327382.7493293,122770,116776
1766327382.7603188,122771,116801
1766327382.7712853,122792,116811
1766327382.78224,122792,116800
1766327382.7931948,123294,117379
1766327382.8041618,122844,116820
1766327382.8151205,123313,117386
1766327382.8260736,123313,117386
1766327382.8370368,122866,116823
1766327382.8479893,123338,117404
1766327382.8589454,123338,117404
1766327382.8699038,123338,117404
1766327382.8808582,122951,116854
1766327382.89181,123346,117397
1766327382.9027627,123346,117397
1766327382.9137192,123346,117397
1766327382.924685,122939,116879
1766327382.9358308,123226,117324
1766327382.946898,123226,117324
1766327382.9579837,123018,116854
1766327382.968999,123013,117246
1766327382.979957,123013,117246
1766327382.990911,123013,117246
1766327383.0018644,123058,116902
1766327383.0128253,122938,117202
1766327383.0237947,122938,117202
1766327383.0347514,123051,116883
1766327383.045702,122942,117205
1766327383.0566545,122942,117205
1766327383.0676138,122942,117205
1766327383.078566,123061,116878
1766327383.0895212,122967,117200
1766327383.1004739,122967,117200
1766327383.1114273,122967,117200
1766327383.1223872,122815,116767
1766327383.1333404,123017,117226
1766327383.1445208,123017,117226
1766327383.1556814,122584,116635
1766327383.1667757,123043,117237
1766327383.1779332,123043,117237
1766327383.1891377,123043,117237
1766327383.2002032,122574,116681
1766327383.2111657,123033,117238
1766327383.2221394,123033,117238
1766327383.233102,122650,116731
1766327383.2440577,123011,117235
1766327383.2550364,123011,117235
1766327383.2660012,123011,117235
1766327383.2769704,122690,116722
1766327383.2879295,123025,117223
1766327383.2988822,123025,117223
1766327383.3099563,123025,117223
1766327383.321046,122788,116764
1766327383.3320987,123036,117238
1766327383.3431368,123036,117238
1766327383.3541684,122820,116750
1766327383.3652432,123060,117243
1766327383.3762834,123060,117243
1766327383.387307,123060,117243
1766327383.3984962,122833,116773
1766327383.4095616,123083,117255
1766327383.4205377,123083,117255
1766327383.4314928,123083,117255
1766327383.4424493,123106,117266
1766327383.4534023,123106,117266
1766327383.4643662,123106,117266
1766327383.4753249,122872,116784
1766327383.4862788,123126,117273
1766327383.4972308,123126,117273
1766327383.508183,123126,117273
1766327383.5191483,122910,116798
1766327383.5301077,123128,117279
1766327383.5410604,123128,117279
1766327383.5520122,122996,116847
1766327383.5629957,123138,117281
1766327383.5739613,123138,117281
1766327383.5849488,123138,117281
1766327383.5960917,123015,116825
1766327383.6070592,123068,116928
1766327383.6180294,123068,116928
1766327383.6289878,123068,116928
1766327383.6400168,123009,116849
1766327383.6510854,122902,116865
1766327383.6620543,122902,116865
1766327383.6730382,123093,116821
1766327383.683994,122629,116751
1766327383.6949482,122629,116751
1766327383.7059019,122629,116751
1766327383.7168686,123121,116869
1766327383.7278209,122567,116721
1766327383.738776,122567,116721
1766327383.7497272,122567,116896
1766327383.7607224,122611,116766
1766327383.7716935,122611,116766
1766327383.7826486,122611,116766
1766327383.793602,123094,116848
1766327383.8045554,122631,116752
1766327383.8155162,122631,116752
1766327383.8264704,122631,116752
1766327383.8374221,122823,116723
1766327383.8483748,122670,116784
1766327383.859327,122670,116784
1766327383.8702831,122599,116639
1766327383.8812342,122770,116776
1766327383.8921869,122770,116776
1766327383.9031384,122770,116776
1766327383.9140975,122591,116625
1766327383.9250534,122771,116801
1766327383.9360058,122771,116801
1766327383.9469671,122771,116801
1766327383.9579246,122579,116634
1766327383.9689083,122792,116811
1766327383.979862,122792,116811
1766327383.9908137,122635,116628
1766327384.001765,122792,116800
1766327384.012717,122792,116800
1766327384.023695,122792,116800
1766327384.0346494,122740,116690
1766327384.045606,122844,116820
1766327384.0565584,122844,116820
1766327384.0675175,122844,116820
1766327384.0784712,122866,116823
1766327384.0894248,122866,116823
1766327384.1003795,122866,116823
1766327384.111333,122791,116698
